Back,Terug
"Next model HMDNR are not found during registrations import: %1","De volgende HMDNR's zijn niet gevonden tijdens kenteken import: %1"
"Required field %1 is missed in registration import","Verplicht veld %1 niet gevonden in kenteken import"
Category,Categorie
"Could not save the model product link: %1","Kon de model-product link niet opslaan: %1"
"Could not delete the model product: %1","Kon model product niet verwijderen: %1"
"Product id %2 is not linked with model %1","Product id %2 is niet gelinkt aan model %1"
"Registration with id ""%1"" does not exist.","Kenteken met id ""%1"" bestaat niet."
"Could not delete the registration: %1","Kon het kenteken niet verwijderen: %1"
"Could not save the registration: %1","Kon het kenteken niet opslaan: %1"
"Registration with number ""%1"" does not exist.","Kenteken met nummer ""%1"" bestaat niet."
"Could not save the model: %1","Kon het model niet opslaan: %1"
"Model with id ""%1"" does not exist.","Model met id ""%1"" bestaat niet."
"Could not delete the model: %1","Kon het model niet verwijderen: %1"
Edit,Wijzigen
Delete,Verwijderen
"Delete ""${ $.$data.hmdnr }""","Verwijder ""${ $.$data.hmdnr }"""
"Are you sure you wan't to delete a ""${ $.$data.hmdnr }"" record?","Weet je zeker dat je record ""${ $.$data.hmdnr }"" wilt verwijderen?"
%1,%1
"Model Products","Model Producten"
"Model products are shown when customer search for license template","Model products worden getoond wanneer klanten zoeken op kenteken"
"Add Model Products","Model Producten toevoegen"
Cancel,Annuleren
"Add Selected Products","Geselecteerde producten toevoegen"
Remove,Verwijderen
ID,ID
Thumbnail,Thumbnail
Name,Naam
Status,Status
SKU,SKU
Price,Prijs
Actions,Acties
Registrations,Kentekens
"Registration let customer choose the model to show.","Kenteken laat klant het te tonen model kiezen"
"Add Registration","Kenteken toevoegen"
"New Registration","Nieuw kenteken"
"Registration Title","Kenteken titel"
Title,Titel
"This part also fits on...","Dit product past ook op..."
Manufacturer,Fabrikant
Model,Model
Motor,Motor
Generation,Uitvoering
"Construction Period","Bouw periode"
"License Plate Search","Zoek op kenteken"
"License Plate Search...","Zoek op kenteken..."
Search,Zoeken
"License Plate Extended Search","Uitgebreid zoeken op kenteken"
"Select Manufacturer","Selecteer fabrikant"
Brand:,Merk:
Model:,Model:
Fuel:,Brandstof:
Motor:,Motor:
Generation:,Uitvoering:
"Construction Period:","Bouw periode:"
"Remove filter","Verwijder filter"
"Your search returned no results.","Geen resultaten gevonden."
"Licenseplate Import","Kenteken import"
"Path to import files","Pad naar import files"
"path from var directory","pad vanaf var directory"
"Model Filename","Model Filename"
"Registrations Filename","Kentekens Filename"
"Products Filename","Products Filename"
General,General
"Redirect to page on filter removal","Redirect naar pagina bij verwijderen filter"
"Redirect back to the same page on filter removal","Redirect terug naar dezelfde pagina bij verwijderen filter"
"If customer removes filter on the page other than model search result page, redirect the customer to the same page","Indien bezoeker filter verwijderd op een pagina anders dan de model zoekresultaat pagina, redirect dan naar dezelfde pagina."
"Add New Model","Nieuw model toevoegen"
"Delete items","Verwijder items"
"Are you sure you wan't to delete selected items?","Weet je zeker dat je de geselecteerde items wilt verwijderen?"
HMDNR,HMDNR
Fuel,Brandstof
"Attribute Set","Attributen Set"
AttributeSetText,AttributeSetText
StatusText,StatusText
Type,Type
